crop,state_name,district_name,crop_year,season,area_ha,nitrogen,phosphorous,potassium,temperature_c,humidity,ph,rainfall_mm,moisture,price_per_ton,target_yield_t_ha 
Maize,Maharashtra,PARBHANI,1998,Rabi,400.0,70.91,42.97,24.58,20.29,60.8,5.73,47.54,21.71,20247.27,3.929
Maize,Maharashtra,PARBHANI,1998,Summer,300.0,74.47,52.92,31.45,21.19,53.49,6.63,42.21,18.07,20247.28,2.5
Maize,Maharashtra,PARBHANI,1999,Kharif,1200.0,70.47,41.87,27.52,24.72,57.74,6.32,125.63,26.2,20247.29,3.392
Rice,Maharashtra,PARBHANI,1999,Kharif,9100.0,82.37,43.37,50.79,23.68,76.72,6.15,196.9,21.93,22309.18,5.438
Blackgram,Maharashtra,PARBHANI,1999,Kharif,14000.0,53.88,72.28,29.13,25.29,65.9,8.21,100.64,15.64,74711.3,1.065
Maize,Maharashtra,PARBHANI,1999,Rabi,100.0,111.13,61.19,19.37,22.05,56.7,6.15,78.95,23.18,20247.32,2.902
Maize,Maharashtra,PARBHANI,1999,Summer,400.0,94.72,68.36,26.01,18.3,66.15,5.21,31.15,16.36,20247.33,3.126
Maize,Maharashtra,PARBHANI,2000,Kharif,1400.0,57.87,71.49,19.59,28.86,74.73,7.51,88.58,18.5,20247.34,2.5
Rice,Maharashtra,PARBHANI,2000,Kharif,9600.0,62.78,52.6,42.27,21.46,80.43,6.89,184.07,24.28,22247.35,2.818
Blackgram,Maharashtra,PARBHANI,2000,Kharif,15500.0,46.8,85.06,24.79,30.7,69.77,7.22,94.16,25.41,73554.75,0.743
Maize,Maharashtra,PARBHANI,2000,Rabi,900.0,73.56,76.28,22.51,25.24,63.74,6.88,103.2,21.12,20247.37,2.756
Maize,Maharashtra,PARBHANI,2001,Kharif,1300.0,92.33,48.77,35.01,21.75,66.11,6.57,94.16,23.92,20247.38,5.141
Rice,Maharashtra,PARBHANI,2001,Kharif,9600.0,45.28,50.07,48.0,24.84,79.69,4.86,153.31,27.31,22247.39,4.441
Blackgram,Maharashtra,PARBHANI,2001,Kharif,15700.0,65.59,79.3,26.83,23.77,66.14,6.78,93.08,17.77,73667.15,1.068
Maize,Maharashtra,PARBHANI,2001,Rabi,500.0,68.57,34.85,31.79,23.11,68.99,5.99,50.46,24.12,20247.41,4.204
Maize,Maharashtra,PARBHANI,2001,Summer,300.0,50.34,68.57,31.73,27.37,63.22,6.03,93.25,13.55,20247.42,3.624
Maize,Maharashtra,PARBHANI,2002,Kharif,1300.0,71.44,51.67,33.47,25.44,68.86,6.36,107.26,25.32,20247.43,4.202
Rice,Maharashtra,PARBHANI,2002,Kharif,9400.0,86.1,41.07,43.79,24.11,82.41,7.81,136.74,29.29,22794.28,4.116
Blackgram,Maharashtra,PARBHANI,2002,Kharif,17400.0,57.68,80.2,26.24,29.14,72.41,6.87,92.57,23.99,69025.58,1.113
Maize,Maharashtra,PARBHANI,2002,Rabi,600.0,61.88,51.02,26.55,24.15,57.59,6.86,98.66,10.42,20247.46,5.632
Maize,Maharashtra,PARBHANI,2002,Summer,200.0,66.76,60.75,35.11,22.48,57.55,6.35,54.52,10.0,20247.47,3.319
Maize,Maharashtra,PARBHANI,2003,Kharif,1600.0,99.63,63.76,29.84,26.83,77.02,5.46,125.92,25.06,20247.48,4.915
Rice,Maharashtra,PARBHANI,2003,Kharif,9600.0,89.28,88.56,50.14,22.65,78.35,6.9,261.19,31.9,23932.25,4.941
Blackgram,Maharashtra,PARBHANI,2003,Kharif,17100.0,48.55,75.93,24.95,28.87,71.31,7.04,99.18,14.68,69107.0,1.108
Maize,Maharashtra,PARBHANI,2003,Rabi,500.0,86.57,74.35,36.63,19.9,53.44,5.84,67.36,21.4,20247.51,3.85
Banana,Maharashtra,PARBHANI,2003,Whole Year,2300.0,91.76,103.36,48.28,27.3,81.53,5.88,78.55,24.41,18247.52,26.075
Grapes,Maharashtra,PARBHANI,2003,Whole Year,77.0,19.8,124.9,164.36,40.0,76.03,5.73,75.2,23.92,30247.53,18.56
Mango,Maharashtra,PARBHANI,2003,Whole Year,4867.0,41.97,13.84,35.2,33.78,52.04,4.76,87.01,15.02,28247.54,7.631
Maize,Maharashtra,PARBHANI,2004,Kharif,1700.0,79.89,55.14,26.66,22.72,56.58,7.08,111.49,24.64,20247.55,4.41
Rice,Maharashtra,PARBHANI,2004,Kharif,9900.0,75.94,44.15,40.87,21.72,80.27,8.5,276.16,32.52,23082.03,3.502
Blackgram,Maharashtra,PARBHANI,2004,Kharif,16700.0,37.2,52.82,30.74,25.32,60.91,7.21,104.3,25.05,78712.11,1.014
Maize,Maharashtra,PARBHANI,2004,Rabi,600.0,102.14,52.91,28.07,19.06,51.8,7.18,20.0,15.41,20247.58,4.366
Rice,Maharashtra,PARBHANI,2005,Kharif,7000.0,95.16,69.75,45.82,30.66,79.36,4.5,247.73,29.94,22247.59,2.803
Blackgram,Maharashtra,PARBHANI,2005,Kharif,14300.0,27.63,73.57,28.15,31.16,67.73,6.74,88.82,23.99,74599.03,0.921
Maize,Maharashtra,PARBHANI,2006,Kharif,1700.0,106.27,52.91,32.04,26.22,72.06,6.05,106.16,23.3,20247.61,5.1
Rice,Maharashtra,PARBHANI,2006,Kharif,7800.0,67.23,42.63,46.32,30.91,79.15,6.21,297.82,36.43,24253.71,3.737
Blackgram,Maharashtra,PARBHANI,2006,Kharif,16100.0,46.26,49.71,21.17,31.16,56.68,7.77,80.52,24.19,71460.99,1.223
Maize,Maharashtra,PARBHANI,2006,Rabi,800.0,58.62,62.99,28.58,21.42,57.7,5.61,49.52,19.39,20247.64,4.39
Maize,Maharashtra,PARBHANI,2006,Summer,300.0,89.24,59.28,37.08,24.28,39.2,6.0,76.62,15.18,20247.65,4.109
Maize,Maharashtra,PARBHANI,2007,Kharif,15.0,70.02,63.1,33.6,28.12,63.95,5.71,80.49,21.13,20247.66,4.187
Rice,Maharashtra,PARBHANI,2007,Kharif,7200.0,82.52,46.36,42.47,24.2,77.8,5.58,259.75,33.58,22247.67,2.175
Blackgram,Maharashtra,PARBHANI,2007,Kharif,193.0,70.01,79.19,33.65,19.53,67.74,6.39,91.8,22.76,80376.83,1.193
Maize,Maharashtra,PARBHANI,2007,Rabi,8.0,89.97,71.76,30.45,24.09,66.77,6.24,29.49,28.3,20247.69,4.319
Maize,Maharashtra,PARBHANI,2007,Summer,2.0,80.59,38.89,26.43,22.56,66.33,6.96,58.91,17.42,20247.7,3.804
Maize,Maharashtra,PARBHANI,2008,Kharif,1500.0,100.82,58.85,31.13,19.7,64.95,6.33,82.08,29.97,20247.71,2.5
Rice,Maharashtra,PARBHANI,2008,Kharif,5800.0,77.55,55.97,43.77,26.46,78.52,7.55,189.37,28.39,24700.78,3.708
Blackgram,Maharashtra,PARBHANI,2008,Kharif,15800.0,62.85,85.79,33.23,28.77,63.41,6.5,100.73,25.22,76477.08,0.795
Maize,Maharashtra,PARBHANI,2008,Rabi,9.0,56.94,41.38,29.62,22.17,60.59,7.1,77.13,22.35,20247.74,4.057
Maize,Maharashtra,PARBHANI,2009,Kharif,1400.0,68.47,44.23,22.96,27.12,72.13,6.99,100.72,21.88,20247.75,4.594
Rice,Maharashtra,PARBHANI,2009,Kharif,3100.0,100.99,63.94,53.45,26.13,78.11,5.99,154.38,17.75,22247.76,4.428
Blackgram,Maharashtra,PARBHANI,2009,Kharif,8200.0,35.33,56.56,30.93,29.78,66.05,7.22,95.87,18.56,74458.11,0.659
Maize,Maharashtra,PARBHANI,2009,Rabi,900.0,70.54,72.44,36.38,33.11,56.61,6.58,79.29,24.37,20247.78,4.131
Maize,Maharashtra,PARBHANI,2010,Kharif,1400.0,47.03,57.65,29.57,21.04,72.55,5.78,102.06,31.16,20247.79,4.689
Rice,Maharashtra,PARBHANI,2010,Kharif,4000.0,96.16,48.99,41.91,27.78,79.83,7.42,300.0,38.32,22247.8,3.487
Blackgram,Maharashtra,PARBHANI,2010,Kharif,11300.0,50.89,61.89,28.46,33.96,68.93,7.64,102.68,20.81,80552.89,0.901
Maize,Maharashtra,PARBHANI,2010,Rabi,400.0,60.84,74.87,32.08,19.76,55.83,6.41,83.42,18.55,20247.82,5.188
Maize,Maharashtra,PARBHANI,2011,Kharif,1900.0,93.29,61.92,28.32,23.53,63.25,7.0,128.91,24.36,20247.83,4.256
Rice,Maharashtra,PARBHANI,2011,Kharif,1700.0,73.37,47.45,35.11,20.79,77.39,7.88,221.81,38.63,25227.67,3.747
Blackgram,Maharashtra,PARBHANI,2011,Kharif,9600.0,36.11,73.01,36.9,24.64,63.02,7.55,96.3,17.04,82247.85,0.862
Maize,Maharashtra,PARBHANI,2011,Rabi,800.0,85.32,64.54,37.51,20.98,56.33,5.95,57.73,28.28,20247.86,2.748
Maize,Maharashtra,PARBHANI,2011,Summer,200.0,72.42,48.91,19.96,17.22,60.12,7.08,74.89,16.78,20247.87,4.053
Maize,Maharashtra,PARBHANI,2012,Kharif,1900.0,82.65,65.28,28.32,21.14,56.55,5.77,86.2,18.81,20247.88,2.5
Rice,Maharashtra,PARBHANI,2012,Kharif,1400.0,73.02,55.0,54.23,28.57,82.12,6.03,300.0,37.8,24248.09,2.238
Blackgram,Maharashtra,PARBHANI,2012,Kharif,13000.0,34.33,54.14,29.08,30.82,67.45,7.21,100.94,27.86,78955.36,0.6
Maize,Maharashtra,PARBHANI,2012,Rabi,400.0,84.28,44.39,27.16,24.91,60.05,6.1,70.92,22.65,20247.91,2.525
Maize,Maharashtra,PARBHANI,2012,Summer,1800.0,103.44,50.82,32.13,17.91,63.69,5.41,38.79,19.47,20247.92,2.5
Maize,Maharashtra,PARBHANI,2013,Kharif,1900.0,66.16,55.61,32.09,21.43,76.69,5.58,118.88,21.16,20247.93,3.136
Rice,Maharashtra,PARBHANI,2013,Kharif,700.0,28.36,59.87,45.52,25.5,79.94,6.92,226.33,38.09,24505.98,3.092
Blackgram,Maharashtra,PARBHANI,2013,Kharif,13100.0,20.56,88.35,21.97,31.85,58.06,6.16,92.27,26.39,77132.88,0.6
Maize,Maharashtra,PARBHANI,2013,Rabi,200.0,92.44,59.66,28.5,21.01,59.82,7.11,44.52,17.77,20247.96,4.126
Maize,Maharashtra,PARBHANI,2013,Summer,800.0,87.05,65.38,24.84,26.69,45.11,6.69,70.51,16.72,20247.97,4.601
Maize,Maharashtra,PARBHANI,2014,Kharif,1500.0,84.33,40.44,25.21,19.55,61.4,7.11,133.5,20.95,20247.98,4.703
Maize,Maharashtra,PARBHANI,2014,Summer,400.0,78.72,72.42,35.77,25.15,57.51,6.08,78.25,24.9,20247.99,3.558
Maize,Maharashtra,PUNE,1997,Autumn,4.0,73.93,63.15,20.61,21.62,55.83,7.08,155.96,26.37,20248.0,6.8
Maize,Maharashtra,PUNE,1997,Kharif,4400.0,89.92,41.97,26.59,23.58,75.71,6.49,117.47,23.18,20248.01,5.153
Rice,Maharashtra,PUNE,1997,Kharif,59400.0,56.87,56.34,41.19,25.66,84.83,6.03,300.0,34.5,22882.84,5.184
Blackgram,Maharashtra,PUNE,1997,Kharif,2300.0,65.76,48.95,28.12,27.55,69.96,6.5,138.93,25.14,78162.05,0.6
Maize,Maharashtra,PUNE,1997,Rabi,6900.0,36.92,64.31,19.54,22.25,63.75,7.78,89.33,24.9,20248.04,4.029
Maize,Maharashtra,PUNE,1997,Summer,1200.0,78.39,57.94,22.44,25.75,58.45,6.81,114.74,28.53,20248.05,6.058
Maize,Maharashtra,PUNE,1998,Kharif,4800.0,51.82,36.74,22.35,23.7,66.98,6.28,157.16,34.86,20248.06,2.999
Rice,Maharashtra,PUNE,1998,Kharif,60800.0,69.32,63.44,30.32,24.23,81.42,5.58,130.47,30.86,22248.07,3.143
Blackgram,Maharashtra,PUNE,1998,Kharif,2600.0,33.07,70.89,20.08,25.19,68.9,7.49,140.43,25.55,73786.1,1.273
Maize,Maharashtra,PUNE,1998,Rabi,7400.0,78.62,52.33,20.46,26.31,82.13,6.4,136.12,26.12,20248.09,2.5
Maize,Maharashtra,PUNE,1998,Summer,1700.0,46.08,49.76,17.58,23.88,50.14,5.9,68.9,17.77,20248.1,3.527
Maize,Maharashtra,PUNE,1999,Kharif,5100.0,64.12,53.65,23.09,21.45,73.41,7.23,142.65,25.33,20248.11,4.094
Rice,Maharashtra,PUNE,1999,Kharif,61700.0,42.54,59.71,32.87,23.37,85.48,5.28,197.33,28.0,24626.1,2.475
Blackgram,Maharashtra,PUNE,1999,Kharif,2700.0,37.59,74.04,23.92,19.57,72.69,7.15,129.14,30.73,72088.34,0.655
Maize,Maharashtra,PUNE,1999,Rabi,8600.0,67.7,76.1,19.83,13.83,61.79,6.72,126.3,22.53,20248.14,3.25
Maize,Maharashtra,PUNE,1999,Summer,1300.0,99.86,46.11,21.37,30.2,71.99,6.45,107.53,28.12,20248.15,3.924
Maize,Maharashtra,PUNE,2000,Kharif,5800.0,58.02,46.59,23.8,21.38,74.82,5.73,184.98,30.86,20248.16,4.421
Rice,Maharashtra,PUNE,2000,Kharif,64000.0,64.25,25.37,32.53,22.61,85.86,5.62,240.57,30.19,23399.78,3.489
Blackgram,Maharashtra,PUNE,2000,Kharif,2500.0,19.6,66.88,30.03,25.22,67.5,6.42,131.24,21.28,72696.88,0.693
Maize,Maharashtra,PUNE,2000,Rabi,10400.0,82.24,53.55,18.73,15.69,72.19,6.91,142.04,30.68,20248.19,4.144
Maize,Maharashtra,PUNE,2001,Kharif,5800.0,71.44,63.9,25.9,20.5,67.35,7.04,166.14,24.73,20248.2,3.348
Rice,Maharashtra,PUNE,2001,Kharif,59100.0,71.06,41.9,31.94,28.72,84.73,7.48,285.13,31.85,23624.73,3.214
Blackgram,Maharashtra,PUNE,2001,Kharif,1800.0,20.61,77.13,11.28,31.87,75.37,6.73,136.4,23.82,80134.74,0.906
Maize,Maharashtra,PUNE,2001,Rabi,8100.0,49.08,31.59,22.44,15.22,77.2,6.32,91.64,25.67,20248.23,3.956
Maize,Maharashtra,PUNE,2001,Summer,1400.0,61.73,26.81,20.33,25.41,71.01,6.22,103.09,31.7,20248.24,3.22
Maize,Maharashtra,PUNE,2002,Kharif,5500.0,58.53,54.86,24.81,29.54,72.75,6.7,167.99,21.18,20248.25,2.7
Rice,Maharashtra,PUNE,2002,Kharif,57700.0,101.22,33.21,38.89,22.03,81.03,7.59,223.59,32.99,22997.53,4.973
Blackgram,Maharashtra,PUNE,2002,Kharif,2100.0,67.8,70.74,20.5,29.22,70.43,7.13,142.7,25.81,76379.95,1.043
Maize,Maharashtra,PUNE,2002,Rabi,8200.0,71.38,53.9,23.84,17.64,58.01,7.46,133.11,30.09,20248.28,6.223
Maize,Maharashtra,PUNE,2002,Summer,1200.0,80.85,60.65,21.35,27.27,85.05,6.16,88.42,24.31,20248.29,3.034
Maize,Maharashtra,PUNE,2003,Kharif,5500.0,59.47,43.06,21.12,26.23,58.17,6.25,156.22,33.86,20248.3,4.495
Rice,Maharashtra,PUNE,2003,Kharif,60400.0,50.95,75.76,40.8,25.34,84.92,7.55,199.33,32.48,22248.31,2.308
Blackgram,Maharashtra,PUNE,2003,Kharif,2400.0,48.23,72.84,21.26,30.47,71.31,6.62,123.62,26.58,79874.42,0.803
Maize,Maharashtra,PUNE,2003,Rabi,4900.0,55.29,57.86,22.8,20.63,78.48,6.62,126.47,28.68,20248.33,3.07
Banana,Maharashtra,PUNE,2003,Whole Year,900.0,68.84,73.75,45.96,25.78,75.51,5.34,160.2,21.18,18248.34,18.998
Grapes,Maharashtra,PUNE,2003,Whole Year,822.0,29.66,90.28,152.37,20.04,80.56,6.78,117.54,26.95,30248.35,10.0
Mango,Maharashtra,PUNE,2003,Whole Year,7232.0,46.77,60.93,21.24,22.29,53.09,5.99,135.89,20.9,28248.36,8.373
Maize,Maharashtra,PUNE,2004,Kharif,7000.0,88.89,61.09,25.16,16.95,76.08,5.62,123.95,19.54,20248.37,4.59
Rice,Maharashtra,PUNE,2004,Kharif,67600.0,83.18,53.54,34.67,18.82,85.9,6.99,228.51,24.83,22627.41,2.44
Blackgram,Maharashtra,PUNE,2004,Kharif,2700.0,55.01,48.07,27.81,30.09,70.07,7.56,127.6,28.18,73867.45,0.778
Maize,Maharashtra,PUNE,2004,Rabi,6200.0,58.13,52.09,22.45,18.0,59.27,6.72,106.67,28.57,20248.4,2.5
Maize,Maharashtra,PUNE,2004,Summer,2100.0,69.29,51.84,21.99,23.84,71.66,6.75,93.89,20.5,20248.41,2.5
Rice,Maharashtra,PUNE,2005,Kharif,64500.0,40.8,29.24,32.87,18.87,89.38,7.84,283.88,40.42,24043.6,3.544
Blackgram,Maharashtra,PUNE,2005,Kharif,2200.0,38.76,81.83,25.89,30.61,79.22,6.86,143.99,17.97,72668.09,1.202
Maize,Maharashtra,PUNE,2006,Kharif,8500.0,60.55,77.86,16.05,23.88,83.77,5.8,202.98,33.76,20248.44,4.947
Rice,Maharashtra,PUNE,2006,Kharif,63900.0,65.82,49.67,46.42,22.07,85.88,7.4,282.61,36.22,24964.48,3.081
Blackgram,Maharashtra,PUNE,2006,Kharif,2400.0,36.31,56.25,21.23,20.87,71.87,7.01,128.99,28.74,71876.53,0.767
Maize,Maharashtra,PUNE,2006,Rabi,8300.0,68.79,57.47,25.36,18.71,76.7,5.0,109.42,30.85,20248.47,2.5
Maize,Maharashtra,PUNE,2006,Summer,1500.0,51.71,42.59,22.5,19.0,55.26,6.17,125.07,18.32,20248.48,3.28
Maize,Maharashtra,PUNE,2007,Kharif,74.0,90.47,64.2,35.91,17.56,76.0,7.48,146.84,21.43,20248.49,3.087
Rice,Maharashtra,PUNE,2007,Kharif,628.0,103.46,53.66,32.66,29.01,81.07,5.61,300.0,48.65,24284.55,4.19
Blackgram,Maharashtra,PUNE,2007,Kharif,23.0,77.76,64.68,20.38,34.0,75.08,6.23,135.84,29.89,74278.61,0.6
Maize,Maharashtra,PUNE,2007,Rabi,82.0,82.07,37.25,26.5,18.7,62.76,6.73,98.66,25.23,20248.52,4.318
Maize,Maharashtra,PUNE,2007,Summer,10.0,66.76,44.38,18.31,24.84,63.3,7.67,101.76,28.22,20248.53,2.5
Maize,Maharashtra,PUNE,2008,Kharif,5700.0,63.13,27.73,22.69,23.56,68.79,6.89,143.83,19.48,20248.54,5.031
Rice,Maharashtra,PUNE,2008,Kharif,61200.0,91.17,34.9,36.8,27.71,83.95,5.38,240.24,25.9,22248.55,4.92
Blackgram,Maharashtra,PUNE,2008,Kharif,1700.0,80.61,69.13,25.32,25.45,67.43,6.85,145.12,21.75,76456.7,1.006
Maize,Maharashtra,PUNE,2008,Rabi,104.0,49.73,43.66,24.31,21.96,52.65,6.51,102.56,16.46,20248.57,4.666
Maize,Maharashtra,PUNE,2009,Kharif,4900.0,46.33,35.39,8.88,23.15,66.09,6.47,167.57,30.82,20248.58,4.401
Rice,Maharashtra,PUNE,2009,Kharif,62600.0,89.28,57.02,35.23,25.92,85.2,5.25,285.71,34.31,23336.73,4.88
Blackgram,Maharashtra,PUNE,2009,Kharif,1900.0,48.61,62.35,26.99,25.55,66.68,5.84,146.39,22.91,73951.4,1.118
Maize,Maharashtra,PUNE,2009,Rabi,11100.0,57.15,43.36,26.11,25.06,62.31,6.36,75.74,27.76,20248.61,5.648
Maize,Maharashtra,PUNE,2010,Kharif,10500.0,52.6,55.61,20.19,29.4,70.7,6.79,182.67,20.18,20248.62,4.158
Rice,Maharashtra,PUNE,2010,Kharif,60900.0,66.52,36.95,23.4,23.79,83.38,7.02,300.0,38.12,23110.77,4.761
Blackgram,Maharashtra,PUNE,2010,Kharif,2100.0,54.6,64.63,24.31,24.49,80.74,7.19,134.17,21.62,79408.53,0.832
Maize,Maharashtra,PUNE,2010,Rabi,14800.0,81.36,55.06,23.05,21.33,57.01,5.78,77.78,25.39,20248.65,2.505
Maize,Maharashtra,PUNE,2011,Kharif,10500.0,86.68,66.85,21.84,19.13,61.35,6.03,174.09,33.78,20248.66,5.451
Rice,Maharashtra,PUNE,2011,Kharif,62000.0,55.98,44.32,38.17,20.84,88.1,6.8,258.52,29.05,23988.96,3.066
Blackgram,Maharashtra,PUNE,2011,Kharif,2100.0,43.1,84.74,14.29,28.14,61.07,6.66,141.9,26.35,69219.49,0.946
Maize,Maharashtra,PUNE,2011,Rabi,14700.0,67.78,80.34,15.21,22.64,71.55,5.88,99.26,28.79,20248.69,3.291
Maize,Maharashtra,PUNE,2011,Summer,2000.0,64.22,45.9,20.68,21.18,52.73,6.49,144.84,24.02,20248.7,4.548
Maize,Maharashtra,PUNE,2012,Kharif,9500.0,73.01,57.95,17.29,17.08,75.25,6.88,155.33,24.11,20248.71,3.472
Rice,Maharashtra,PUNE,2012,Kharif,77600.0,60.84,39.55,41.4,25.59,82.07,8.5,257.82,30.21,23833.86,3.612
Blackgram,Maharashtra,PUNE,2012,Kharif,2400.0,31.02,60.52,22.42,23.12,68.66,7.43,125.43,25.8,69556.48,0.706
Maize,Maharashtra,PUNE,2012,Rabi,15200.0,69.46,52.69,29.18,14.98,68.88,5.65,87.87,27.9,20248.74,2.969
Maize,Maharashtra,PUNE,2012,Summer,500.0,68.06,57.76,15.96,18.08,73.54,5.8,78.9,25.27,20248.75,2.706
Maize,Maharashtra,PUNE,2013,Kharif,11800.0,46.06,55.73,19.89,21.37,59.28,5.09,116.22,22.47,20248.76,4.907
Rice,Maharashtra,PUNE,2013,Kharif,82100.0,64.95,34.79,32.8,25.32,82.64,6.1,204.52,26.61,22260.33,3.465
Blackgram,Maharashtra,PUNE,2013,Kharif,2400.0,44.98,62.06,29.63,33.23,76.99,7.51,146.3,23.84,73178.26,1.081
Maize,Maharashtra,PUNE,2013,Rabi,19000.0,68.41,49.18,21.83,20.5,70.46,6.26,101.15,27.93,20248.79,4.61
Maize,Maharashtra,PUNE,2013,Summer,1100.0,77.34,57.55,20.65,26.0,63.46,6.16,51.92,19.34,20248.8,2.518
Maize,Maharashtra,PUNE,2014,Kharif,13300.0,57.1,56.91,28.91,27.1,66.54,5.41,176.44,29.64,20248.81,4.277
Rice,Maharashtra,PUNE,2014,Kharif,82100.0,53.53,39.31,39.67,24.56,85.3,6.26,281.52,28.97,24727.88,3.862
Maize,Maharashtra,PUNE,2014,Rabi,21600.0,61.01,56.49,20.24,14.16,59.25,6.21,98.9,22.39,20248.83,4.102
Maize,Maharashtra,PUNE,2014,Summer,1100.0,77.65,34.17,22.87,27.05,57.78,6.35,94.04,26.7,20248.84,3.931
Rice,Maharashtra,RAIGAD,1997,Kharif,123800.0,81.28,46.82,39.79,26.39,89.15,6.07,202.69,31.95,22248.85,4.56
Blackgram,Maharashtra,RAIGAD,1997,Kharif,1000.0,36.36,68.55,29.23,33.42,72.83,7.6,87.22,18.75,78137.6,1.082
Rice,Maharashtra,RAIGAD,1997,Summer,82.0,61.18,70.7,36.06,30.09,79.2,4.98,188.12,34.21,25454.79,2.94
Rice,Maharashtra,RAIGAD,1998,Kharif,127300.0,78.36,74.27,47.35,28.25,90.29,4.85,190.49,29.65,24821.31,2.256
Blackgram,Maharashtra,RAIGAD,1998,Kharif,800.0,27.09,72.86,29.24,38.86,83.97,7.06,76.26,24.92,68470.75,0.6
Rice,Maharashtra,RAIGAD,1998,Summer,8100.0,51.04,40.61,45.54,26.59,81.12,7.14,124.72,31.23,23861.85,3.705
Rice,Maharashtra,RAIGAD,1999,Kharif,127400.0,59.84,33.3,42.8,25.99,89.49,5.59,251.16,37.14,26347.78,3.908
Blackgram,Maharashtra,RAIGAD,1999,Kharif,600.0,14.87,88.65,29.12,33.25,81.07,7.4,96.39,30.36,74166.72,1.06
Rice,Maharashtra,RAIGAD,1999,Summer,8300.0,52.17,24.98,43.03,21.97,80.63,7.16,212.6,32.53,22482.7,3.488
Rice,Maharashtra,RAIGAD,2000,Kharif,126400.0,62.86,35.94,44.7,20.95,92.02,5.28,205.91,29.38,22265.78,5.521
Blackgram,Maharashtra,RAIGAD,2000,Kharif,600.0,31.02,68.92,23.43,16.02,77.95,7.46,92.5,29.49,79115.74,0.783
Rice,Maharashtra,RAIGAD,2000,Summer,8300.0,108.58,43.05,48.71,27.9,80.83,5.1,113.19,24.1,24468.94,2.0
Rice,Maharashtra,RAIGAD,2001,Kharif,125400.0,71.3,65.88,45.78,23.29,87.06,7.94,267.1,36.87,23355.63,2.651
Blackgram,Maharashtra,RAIGAD,2001,Kharif,600.0,31.19,83.28,17.98,28.65,82.55,7.65,92.17,24.74,75955.61,1.203
Rice,Maharashtra,RAIGAD,2001,Summer,8300.0,60.87,34.53,38.5,27.44,79.4,5.33,238.12,24.65,25491.6,3.838
Rice,Maharashtra,RAIGAD,2002,Kharif,124600.0,61.82,55.41,39.97,30.11,91.46,8.18,236.79,38.34,22249.0,4.489
Blackgram,Maharashtra,RAIGAD,2002,Kharif,600.0,23.65,74.3,29.97,21.17,72.21,6.87,82.31,23.33,75139.61,1.058
Rice,Maharashtra,RAIGAD,2002,Summer,8600.0,61.84,59.54,30.86,24.11,84.35,5.92,229.51,32.64,23764.03,3.391
Rice,Maharashtra,RAIGAD,2003,Kharif,124600.0,64.41,44.75,43.64,28.53,95.09,5.89,282.56,42.01,22497.12,3.778
Blackgram,Maharashtra,RAIGAD,2003,Kharif,600.0,44.61,85.7,35.95,17.86,85.27,7.01,97.89,27.47,73760.21,0.672
Rice,Maharashtra,RAIGAD,2003,Summer,8500.0,86.89,45.44,43.16,26.46,77.16,7.47,198.02,27.06,22249.05,3.938
Banana,Maharashtra,RAIGAD,2003,Whole Year,100.0,70.35,69.67,45.51,29.97,90.74,6.21,118.02,27.01,18249.06,37.101
Mango,Maharashtra,RAIGAD,2003,Whole Year,13400.0,38.99,29.95,34.73,26.58,66.76,5.53,91.44,23.11,28249.07,8.721
Rice,Maharashtra,RAIGAD,2004,Kharif,124500.0,88.27,68.42,48.25,27.66,91.78,6.64,292.29,37.65,23684.25,3.379
Blackgram,Maharashtra,RAIGAD,2004,Kharif,700.0,69.43,86.58,23.65,27.94,75.02,6.86,81.6,20.39,73445.45,0.805
Rice,Maharashtra,RAIGAD,2004,Summer,8500.0,61.63,60.36,50.5,27.04,83.12,8.03,239.35,43.86,25191.25,3.666
Rice,Maharashtra,RAIGAD,2005,Kharif,121000.0,66.17,52.79,35.16,25.3,91.08,7.78,234.16,26.98,22249.11,4.964
Blackgram,Maharashtra,RAIGAD,2005,Kharif,700.0,65.72,68.55,19.69,23.56,84.2,7.63,86.01,24.7,75711.47,0.907
Rice,Maharashtra,RAIGAD,2005,Summer,8500.0,101.37,82.04,41.18,32.23,80.04,6.99,241.65,40.28,24911.05,3.996
Rice,Maharashtra,RAIGAD,2006,Kharif,123600.0,99.93,47.6,42.41,26.09,91.58,4.76,166.11,35.29,22444.72,5.273
Blackgram,Maharashtra,RAIGAD,2006,Kharif,700.0,37.93,59.68,24.2,30.35,83.87,6.98,93.43,34.23,72857.72,1.21
Maize,Maharashtra,RAIGAD,2006,Rabi,100.0,72.05,49.26,19.16,23.81,73.45,7.45,69.72,30.22,20249.16,4.934
Rice,Maharashtra,RAIGAD,2006,Summer,8600.0,110.1,46.19,31.99,25.88,76.28,6.45,130.88,29.75,25863.55,4.479
Rice,Maharashtra,RAIGAD,2007,Kharif,1246.0,114.68,46.39,42.14,24.48,93.92,6.01,125.36,26.3,22249.18,4.443
Blackgram,Maharashtra,RAIGAD,2007,Kharif,7.0,37.55,68.44,19.05,22.54,74.87,8.36,82.7,25.22,77478.16,1.001
Maize,Maharashtra,RAIGAD,2007,Rabi,2.0,72.28,47.82,23.7,23.5,69.28,5.67,57.58,25.47,20249.2,2.609
Rice,Maharashtra,RAIGAD,2008,Kharif,123800.0,83.89,54.16,44.73,22.58,90.99,7.39,183.94,35.92,24076.97,6.19
