crop,state_name,district_name,crop_year,season,area_ha,nitrogen,phosphorous,potassium,temperature_c,humidity,ph,rainfall_mm,moisture,yield_t_ha 
Blackgram,Odisha,DHENKANAL,2010,Summer,11.0,22.12,51.25,33.75,37.19,54.24,6.92,43.25,14.25,0.173
Maize,Odisha,DHENKANAL,2010,Winter,24.0,102.9,33.59,40.63,23.87,68.36,6.03,51.02,16.49,2.062
Rice,Odisha,DHENKANAL,2010,Winter,83000.0,81.64,54.04,42.87,20.88,78.73,5.65,151.1,32.07,1.458
Blackgram,Odisha,DHENKANAL,2010,Winter,3478.0,45.06,54.21,41.56,27.84,59.57,5.99,51.31,23.9,0.379
Maize,Odisha,DHENKANAL,2011,Autumn,78.0,74.53,51.99,32.28,32.59,59.13,7.44,89.25,23.49,1.059
Rice,Odisha,DHENKANAL,2011,Autumn,4000.0,52.47,22.14,55.52,32.21,77.72,8.45,188.98,22.91,1.25
Blackgram,Odisha,DHENKANAL,2011,Autumn,34.0,60.07,60.97,32.09,38.64,56.41,7.67,50.6,19.16,0.247
Rice,Odisha,DHENKANAL,2011,Summer,1000.0,112.75,11.46,50.89,26.68,73.31,6.17,198.33,30.5,3.0
Blackgram,Odisha,DHENKANAL,2011,Summer,4.0,27.09,63.01,32.87,37.54,60.86,6.93,27.7,19.15,0.4
Maize,Odisha,DHENKANAL,2011,Winter,2.0,75.74,39.59,32.32,16.24,70.2,5.8,63.4,23.39,3.4
Rice,Odisha,DHENKANAL,2011,Winter,88000.0,91.04,31.49,49.78,28.63,80.77,8.25,167.83,27.74,2.102
Blackgram,Odisha,DHENKANAL,2011,Winter,3092.0,54.61,52.15,35.12,36.76,69.78,7.79,45.98,21.29,0.31
Maize,Odisha,DHENKANAL,2012,Autumn,113.0,88.33,43.2,29.49,34.17,70.54,5.31,68.34,23.02,1.519
Rice,Odisha,DHENKANAL,2012,Autumn,4000.0,65.81,25.12,51.55,24.4,74.8,6.35,149.74,24.98,1.5
Blackgram,Odisha,DHENKANAL,2012,Autumn,14.0,43.43,70.66,38.02,35.58,53.51,7.99,69.19,22.48,0.357
Rice,Odisha,DHENKANAL,2012,Summer,225000.0,65.14,42.14,55.19,29.45,69.92,7.1,25.24,22.85,0.009
Maize,Odisha,DHENKANAL,2012,Winter,51.0,85.74,38.75,31.25,27.83,69.01,6.13,55.77,21.11,2.449
Rice,Odisha,DHENKANAL,2012,Winter,79000.0,82.98,62.75,49.31,22.47,77.65,6.02,155.27,19.57,2.772
Blackgram,Odisha,DHENKANAL,2012,Winter,3224.0,63.72,53.71,30.73,33.3,61.0,7.52,48.19,21.09,0.455
Maize,Odisha,DHENKANAL,2013,Autumn,35.0,82.37,56.92,39.44,30.72,62.18,6.12,121.64,24.19,1.251
Rice,Odisha,DHENKANAL,2013,Autumn,4000.0,86.53,46.82,52.68,37.23,81.84,5.97,158.29,26.37,1.5
Blackgram,Odisha,DHENKANAL,2013,Autumn,10.0,32.12,53.87,35.2,36.49,70.8,7.63,60.51,14.39,0.28
Maize,Odisha,DHENKANAL,2013,Summer,1.0,92.87,33.72,34.9,25.34,51.99,5.9,124.35,24.92,1.2
Rice,Odisha,DHENKANAL,2013,Summer,1000.0,113.29,44.7,57.09,35.23,75.08,7.04,150.89,21.27,4.0
Blackgram,Odisha,DHENKANAL,2013,Summer,12.0,100.92,61.41,34.12,32.37,52.45,6.78,26.22,15.47,0.258
Rice,Odisha,DHENKANAL,2013,Winter,88000.0,52.83,58.07,45.53,26.5,77.95,6.38,166.39,26.51,2.705
Blackgram,Odisha,DHENKANAL,2013,Winter,2931.0,43.28,55.87,32.29,30.79,68.67,6.18,43.8,18.65,0.428
Maize,Odisha,DHENKANAL,2014,Autumn,107.0,65.57,41.05,31.06,27.97,78.17,5.14,82.08,29.19,1.267
Rice,Odisha,DHENKANAL,2014,Autumn,6000.0,95.95,35.38,51.4,27.52,78.28,6.12,194.64,25.76,2.0
Blackgram,Odisha,DHENKANAL,2014,Autumn,4.0,28.31,45.42,27.33,31.97,66.04,7.32,62.81,22.32,0.3
Maize,Odisha,DHENKANAL,2014,Summer,3.0,58.21,56.2,35.46,22.75,68.68,6.43,20.0,22.18,1.933
Maize,Odisha,DHENKANAL,2014,Winter,19.0,89.5,37.1,32.76,25.02,70.03,5.09,59.61,28.64,1.305
Rice,Odisha,DHENKANAL,2014,Winter,92000.0,100.02,34.52,47.4,22.59,76.41,6.8,210.46,23.28,3.391
Blackgram,Odisha,DHENKANAL,2014,Winter,2639.0,42.09,46.1,40.11,18.22,61.87,7.15,33.85,26.21,0.471
Maize,Odisha,DHENKANAL,2015,Autumn,35.0,46.76,49.44,38.31,30.38,72.98,5.87,78.17,24.73,1.174
Rice,Odisha,DHENKANAL,2015,Autumn,5000.0,35.17,52.81,56.23,27.6,76.29,5.2,147.77,25.1,1.2
Blackgram,Odisha,DHENKANAL,2015,Autumn,9.0,35.17,77.04,33.34,40.0,62.9,7.04,55.28,25.64,0.344
Maize,Odisha,DHENKANAL,2015,Summer,4.0,70.03,62.56,32.02,19.66,64.02,6.58,26.0,26.86,1.425
Maize,Odisha,DHENKANAL,2015,Winter,2.0,87.35,43.31,35.23,31.77,56.09,6.16,20.0,18.61,0.95
Rice,Odisha,DHENKANAL,2015,Winter,81000.0,58.46,28.85,48.37,25.7,78.46,5.32,115.87,27.28,1.617
Blackgram,Odisha,DHENKANAL,2015,Winter,2410.0,36.1,67.43,38.44,34.25,57.78,6.97,48.5,18.42,0.435
Maize,Odisha,GAJAPATI,1997,Autumn,5211.0,67.13,54.58,26.51,12.82,60.44,6.68,99.35,21.28,1.081
Maize,Odisha,GAJAPATI,1997,Summer,1.0,79.37,44.26,27.48,24.06,61.19,7.03,28.44,18.3,2.0
Blackgram,Odisha,GAJAPATI,1997,Winter,1832.0,40.7,62.74,28.19,34.47,69.21,7.29,68.0,19.16,0.189
Maize,Odisha,GAJAPATI,1998,Autumn,5992.0,76.6,29.88,44.28,21.88,78.47,6.33,49.75,25.73,1.302
Rice,Odisha,GAJAPATI,1998,Autumn,1685.0,62.48,50.35,53.89,19.24,77.79,6.32,231.51,28.14,1.107
Rice,Odisha,GAJAPATI,1998,Summer,536.0,105.24,58.84,45.08,21.54,73.6,7.0,159.99,31.13,1.11
Maize,Odisha,GAJAPATI,1998,Winter,1.0,60.14,54.12,27.09,15.07,66.31,6.79,110.73,31.09,1.0
Rice,Odisha,GAJAPATI,1998,Winter,39638.0,54.42,31.47,49.85,17.25,79.86,6.07,220.94,38.77,1.821
Blackgram,Odisha,GAJAPATI,1998,Winter,3667.0,32.99,72.24,27.58,25.68,72.33,5.78,59.92,17.0,0.182
Rice,Odisha,GAJAPATI,1999,Autumn,2000.0,48.81,51.28,50.71,22.34,77.49,5.11,195.94,25.99,0.5
Maize,Odisha,GAJAPATI,1999,Kharif,4580.0,66.92,65.11,36.78,20.16,69.8,5.36,117.18,30.84,1.081
Blackgram,Odisha,GAJAPATI,1999,Kharif,2840.0,36.15,58.8,32.63,32.47,76.2,6.67,104.16,27.23,0.68
Maize,Odisha,GAJAPATI,1999,Rabi,120.0,85.34,38.37,34.23,16.53,64.17,7.39,88.9,29.96,1.5
Blackgram,Odisha,GAJAPATI,1999,Rabi,5870.0,58.76,74.19,33.65,23.49,66.89,6.64,51.98,24.83,0.68
Rice,Odisha,GAJAPATI,1999,Summer,590.0,71.62,28.84,51.21,23.54,75.33,7.01,195.59,27.42,1.153
Rice,Odisha,GAJAPATI,1999,Winter,33000.0,80.86,40.84,52.34,18.98,82.4,7.08,226.04,33.81,1.697
Rice,Odisha,GAJAPATI,2000,Autumn,1750.0,71.35,56.41,43.35,20.81,79.08,6.54,165.83,28.29,0.971
Maize,Odisha,GAJAPATI,2000,Kharif,5176.0,48.65,52.65,36.61,15.64,62.78,6.3,109.78,24.99,1.256
Blackgram,Odisha,GAJAPATI,2000,Kharif,2285.0,40.48,73.51,23.51,30.54,79.5,7.03,105.47,20.87,0.181
Rice,Odisha,GAJAPATI,2000,Summer,460.0,56.5,44.58,55.08,24.63,78.01,6.63,123.15,27.87,0.957
Rice,Odisha,GAJAPATI,2000,Winter,34030.0,87.13,28.9,53.81,18.02,77.29,6.42,242.12,33.64,1.834
Maize,Odisha,GAJAPATI,2001,Kharif,4771.0,81.68,62.89,34.55,18.04,67.17,5.87,112.43,18.83,1.401
Rice,Odisha,GAJAPATI,2001,Kharif,41000.0,78.47,57.18,53.51,21.85,83.34,7.28,178.64,27.09,1.976
Blackgram,Odisha,GAJAPATI,2001,Kharif,2695.0,79.68,66.21,28.63,28.68,72.18,6.85,118.86,29.0,0.199
Maize,Odisha,GAJAPATI,2002,Kharif,8575.0,85.88,59.05,30.01,17.08,64.28,8.12,119.12,32.11,1.26
Rice,Odisha,GAJAPATI,2002,Kharif,33000.0,53.06,54.65,44.41,21.44,84.68,4.94,219.4,35.83,1.03
Blackgram,Odisha,GAJAPATI,2002,Kharif,1720.0,14.4,68.41,27.17,32.43,75.08,6.42,97.82,19.41,0.17
Maize,Odisha,GAJAPATI,2003,Kharif,10558.0,77.26,56.91,29.61,20.58,81.28,5.61,103.13,34.3,1.658
Rice,Odisha,GAJAPATI,2003,Kharif,41000.0,87.68,51.92,50.77,22.42,87.2,6.17,160.38,33.43,1.61
Blackgram,Odisha,GAJAPATI,2003,Kharif,3170.0,51.21,67.79,31.17,31.52,74.51,6.91,101.27,27.66,0.176
Maize,Odisha,GAJAPATI,2004,Autumn,11233.0,88.89,40.16,34.0,20.86,54.61,4.91,106.99,22.53,1.544
Rice,Odisha,GAJAPATI,2004,Autumn,1000.0,61.2,40.34,45.89,21.33,80.59,5.23,93.87,30.33,1.0
Maize,Odisha,GAJAPATI,2004,Summer,2.0,68.52,57.6,37.63,19.77,68.21,5.29,43.24,21.32,1.2
Rice,Odisha,GAJAPATI,2004,Winter,35000.0,49.45,31.36,50.42,16.81,82.3,6.2,211.61,27.5,1.743
Blackgram,Odisha,GAJAPATI,2004,Winter,2559.0,55.81,73.7,41.72,25.28,69.88,6.76,69.37,22.29,0.197
Maize,Odisha,GAJAPATI,2005,Autumn,8198.0,55.67,35.82,25.57,20.54,76.62,6.87,131.13,21.96,1.581
Rice,Odisha,GAJAPATI,2005,Autumn,1000.0,101.85,43.48,46.79,18.15,79.03,4.5,247.48,30.09,1.0
Rice,Odisha,GAJAPATI,2005,Winter,32000.0,97.53,60.19,44.26,15.33,81.05,5.61,238.81,29.46,1.438
Blackgram,Odisha,GAJAPATI,2005,Winter,2425.0,14.8,82.41,34.08,22.76,72.47,6.88,66.82,19.86,0.165
Maize,Odisha,GAJAPATI,2006,Autumn,9286.0,81.1,61.08,29.25,15.67,70.95,6.6,77.39,28.44,1.535
Rice,Odisha,GAJAPATI,2006,Autumn,1000.0,84.88,29.7,50.91,19.14,78.82,5.41,189.65,24.4,1.0
Rice,Odisha,GAJAPATI,2006,Summer,1000.0,60.6,74.74,55.53,31.22,74.32,6.87,258.46,35.56,1.0
Maize,Odisha,GAJAPATI,2006,Winter,2.0,92.46,54.17,29.67,10.0,67.73,5.35,90.62,25.72,0.85
Rice,Odisha,GAJAPATI,2006,Winter,37000.0,111.78,47.35,47.07,20.68,78.51,8.02,180.47,29.23,1.784
Blackgram,Odisha,GAJAPATI,2006,Winter,2474.0,30.82,54.55,32.4,26.29,67.85,6.72,62.43,22.24,0.21
Maize,Odisha,GAJAPATI,2007,Autumn,7942.0,96.0,49.61,30.73,23.34,62.67,5.0,72.34,16.36,1.746
Rice,Odisha,GAJAPATI,2007,Autumn,1000.0,70.59,41.85,48.49,16.87,80.03,6.39,267.73,31.36,1.0
Blackgram,Odisha,GAJAPATI,2007,Autumn,3.0,42.58,61.96,26.14,24.28,67.29,5.67,80.59,30.81,0.067
Rice,Odisha,GAJAPATI,2007,Summer,1000.0,88.06,52.32,53.57,23.78,71.54,6.54,235.16,33.57,1.0
Maize,Odisha,GAJAPATI,2007,Winter,3.0,73.59,41.08,34.82,16.27,60.55,5.51,65.47,24.94,1.167
Rice,Odisha,GAJAPATI,2007,Winter,38000.0,57.63,55.5,53.98,21.77,78.25,6.14,170.02,20.5,1.895
Blackgram,Odisha,GAJAPATI,2007,Winter,2979.0,41.4,49.73,28.77,27.99,65.23,6.23,75.32,24.62,0.202
Maize,Odisha,GAJAPATI,2008,Autumn,6704.0,63.53,46.05,31.97,24.15,74.37,5.56,76.18,26.85,1.541
Rice,Odisha,GAJAPATI,2008,Autumn,1000.0,64.07,45.83,44.91,25.39,79.72,6.85,246.33,34.67,1.0
Blackgram,Odisha,GAJAPATI,2008,Autumn,5.0,38.94,55.91,32.22,28.18,76.15,7.05,71.96,14.64,0.32
Rice,Odisha,GAJAPATI,2008,Winter,35000.0,85.62,36.67,51.14,26.63,79.87,4.5,242.82,37.92,1.2
Blackgram,Odisha,GAJAPATI,2008,Winter,2558.0,28.3,89.48,26.16,24.22,74.84,6.62,77.77,19.43,0.149
Maize,Odisha,GAJAPATI,2009,Autumn,9062.0,44.37,43.25,35.76,20.76,65.64,6.6,77.4,23.95,1.271
Maize,Odisha,GAJAPATI,2009,Summer,1.0,78.37,49.87,26.29,22.76,54.18,6.22,82.03,24.53,1.1
Rice,Odisha,GAJAPATI,2009,Winter,32000.0,71.86,51.18,46.8,20.26,79.61,8.5,300.0,38.51,1.5
Blackgram,Odisha,GAJAPATI,2009,Winter,2471.0,37.14,68.48,35.23,24.73,64.1,6.25,56.09,28.03,0.176
Maize,Odisha,GAJAPATI,2010,Autumn,9357.0,77.87,30.47,39.44,15.99,73.88,5.63,94.01,21.33,1.536
Rice,Odisha,GAJAPATI,2010,Autumn,1000.0,82.64,56.13,51.3,15.14,75.83,4.5,154.48,27.88,1.0
Blackgram,Odisha,GAJAPATI,2010,Autumn,2.0,37.17,76.23,32.95,26.58,63.3,5.67,84.53,20.48,0.15
Maize,Odisha,GAJAPATI,2010,Summer,1.0,89.08,53.29,41.9,20.53,49.09,6.2,25.78,19.61,1.4
Blackgram,Odisha,GAJAPATI,2010,Summer,38.0,72.93,53.62,31.07,26.48,59.68,7.58,52.66,18.0,0.139
Rice,Odisha,GAJAPATI,2010,Winter,37000.0,96.97,33.02,48.84,21.39,83.33,4.5,198.84,32.68,1.973
Blackgram,Odisha,GAJAPATI,2010,Winter,1984.0,58.56,50.68,25.74,26.86,66.32,7.18,66.13,16.25,0.172
Maize,Odisha,GAJAPATI,2011,Autumn,10309.0,57.69,42.31,31.99,17.56,76.22,5.64,40.3,22.83,1.932
Maize,Odisha,GAJAPATI,2011,Summer,2.0,73.02,34.76,31.49,28.18,58.25,6.12,71.3,24.77,1.3
Blackgram,Odisha,GAJAPATI,2011,Summer,5.0,44.31,45.81,25.58,23.33,49.54,6.97,65.35,15.06,0.18
Rice,Odisha,GAJAPATI,2011,Winter,36000.0,67.03,58.99,49.47,19.79,80.48,6.61,196.36,28.33,1.028
Blackgram,Odisha,GAJAPATI,2011,Winter,1454.0,37.3,81.1,32.7,27.7,63.24,6.27,68.84,15.51,0.114
Maize,Odisha,GAJAPATI,2012,Autumn,11103.0,45.81,57.89,32.38,21.65,79.76,6.7,84.88,25.44,1.914
Maize,Odisha,GAJAPATI,2012,Summer,1.0,83.94,56.46,34.28,20.63,45.46,5.17,81.12,22.95,1.8
Rice,Odisha,GAJAPATI,2012,Summer,67000.0,61.65,46.5,51.35,23.76,72.49,6.23,248.46,32.87,0.015
Blackgram,Odisha,GAJAPATI,2012,Summer,7.0,41.18,70.75,28.08,27.83,55.14,7.31,59.25,16.18,0.229
Maize,Odisha,GAJAPATI,2012,Winter,1.0,43.29,59.8,32.36,15.11,69.47,5.88,120.68,20.16,1.3
Rice,Odisha,GAJAPATI,2012,Winter,32000.0,74.38,43.35,44.95,21.91,81.5,8.36,189.28,23.17,2.094
Blackgram,Odisha,GAJAPATI,2012,Winter,3225.0,39.35,78.1,33.51,25.06,69.82,6.48,63.73,26.17,0.198
Maize,Odisha,GAJAPATI,2013,Autumn,11836.0,68.85,66.94,29.02,19.59,62.04,5.9,127.3,31.87,1.142
Rice,Odisha,GAJAPATI,2013,Summer,1000.0,60.58,34.2,47.17,25.57,78.22,8.01,166.48,19.45,1.0
Rice,Odisha,GAJAPATI,2013,Winter,37000.0,78.37,60.67,43.8,21.35,77.59,6.5,150.85,37.66,0.892
Blackgram,Odisha,GAJAPATI,2013,Winter,2842.0,68.4,53.31,22.19,25.37,70.21,6.9,67.36,17.04,0.185
Maize,Odisha,GAJAPATI,2014,Autumn,14921.0,86.99,43.83,17.78,25.46,68.9,6.62,34.69,17.04,1.074
Maize,Odisha,GAJAPATI,2014,Summer,3.0,66.98,42.15,34.18,17.43,57.63,6.86,36.61,23.7,1.133
Rice,Odisha,GAJAPATI,2014,Winter,37000.0,95.63,46.2,51.84,18.19,82.14,5.56,142.64,23.16,1.486
Blackgram,Odisha,GAJAPATI,2014,Winter,2680.0,51.39,66.07,32.38,23.6,64.1,7.26,74.75,17.25,0.192
Maize,Odisha,GAJAPATI,2015,Autumn,14990.0,85.52,42.76,25.16,21.56,63.99,5.77,57.84,18.01,2.114
Rice,Odisha,GAJAPATI,2015,Summer,1000.0,100.89,62.98,47.9,22.94,73.06,7.96,180.15,25.11,1.0
Maize,Odisha,GAJAPATI,2015,Winter,21.0,92.97,25.07,34.23,19.35,70.45,6.07,96.31,27.6,2.733
Rice,Odisha,GAJAPATI,2015,Winter,36000.0,99.31,40.94,49.55,20.48,82.06,5.17,163.9,36.26,0.972
Blackgram,Odisha,GAJAPATI,2015,Winter,2273.0,31.14,62.71,37.4,17.91,54.41,7.28,68.92,20.1,0.153
Jute,Odisha,GANJAM,1997,Autumn,10.0,76.62,27.7,35.92,22.14,71.06,6.78,160.35,35.1,1.0
Maize,Odisha,GANJAM,1997,Autumn,537.0,85.42,38.37,32.31,16.98,53.09,4.91,63.57,24.36,1.091
Blackgram,Odisha,GANJAM,1997,Autumn,546.0,25.72,55.29,35.51,26.03,62.98,6.81,81.51,26.19,0.167
Maize,Odisha,GANJAM,1997,Summer,16.0,82.07,43.08,37.19,20.32,68.89,6.7,31.67,18.89,0.875
Blackgram,Odisha,GANJAM,1997,Summer,86.0,43.84,64.45,25.86,40.0,60.2,6.67,60.15,23.25,0.244
Maize,Odisha,GANJAM,1997,Winter,21.0,75.35,51.57,35.76,23.84,63.01,6.44,135.98,23.42,0.095
Blackgram,Odisha,GANJAM,1997,Winter,6334.0,45.94,51.88,29.58,24.75,65.14,7.59,61.04,19.31,0.198
Maize,Odisha,GANJAM,1998,Autumn,658.0,45.35,50.9,29.37,21.41,71.36,6.21,85.55,22.49,1.17
Rice,Odisha,GANJAM,1998,Autumn,2725.0,100.52,31.9,49.15,25.26,73.1,5.83,200.37,31.88,1.694
Blackgram,Odisha,GANJAM,1998,Autumn,306.0,35.05,66.1,29.0,35.53,67.88,7.4,80.69,21.38,0.131
Maize,Odisha,GANJAM,1998,Summer,2.0,65.02,44.66,27.43,26.84,57.49,5.93,83.41,24.43,1.5
Rice,Odisha,GANJAM,1998,Summer,1495.0,68.52,50.43,43.63,21.94,71.24,5.61,176.78,23.75,1.701
Blackgram,Odisha,GANJAM,1998,Summer,450.0,26.1,66.85,24.78,40.0,48.28,6.84,62.63,11.44,0.116
Rice,Odisha,GANJAM,1998,Winter,265872.0,78.53,60.28,49.5,22.39,77.12,6.09,201.69,40.35,1.746
Blackgram,Odisha,GANJAM,1998,Winter,11394.0,80.98,53.65,30.99,21.69,64.22,7.25,67.61,22.54,0.167
Rice,Odisha,GANJAM,1999,Autumn,2000.0,75.57,37.75,40.72,22.43,73.48,7.47,252.64,30.76,1.5
Maize,Odisha,GANJAM,1999,Kharif,8240.0,41.9,41.46,20.5,20.86,53.47,6.69,113.13,17.0,1.125
Blackgram,Odisha,GANJAM,1999,Kharif,15120.0,52.3,69.31,33.32,26.19,60.74,6.28,105.49,14.91,0.283
Maize,Odisha,GANJAM,1999,Rabi,510.0,74.07,51.2,31.63,18.52,48.18,6.32,97.17,15.03,1.373
Blackgram,Odisha,GANJAM,1999,Rabi,34170.0,39.88,73.12,30.56,26.24,59.73,6.93,61.78,25.96,0.455
Rice,Odisha,GANJAM,1999,Summer,1780.0,72.91,55.21,42.52,27.69,70.62,4.5,128.21,20.7,1.691
Rice,Odisha,GANJAM,1999,Winter,267000.0,42.14,45.83,47.93,19.82,77.52,5.62,160.87,29.0,0.745
Rice,Odisha,GANJAM,2000,Autumn,2800.0,53.21,53.8,47.93,23.98,79.78,6.9,150.54,24.97,1.225
Maize,Odisha,GANJAM,2000,Kharif,642.0,63.06,49.18,40.18,23.17,82.9,5.3,97.73,22.74,1.12
Blackgram,Odisha,GANJAM,2000,Kharif,5613.0,66.06,58.51,35.65,30.83,70.41,7.63,99.85,24.3,0.176
Rice,Odisha,GANJAM,2000,Summer,1380.0,46.28,72.72,45.25,26.01,66.93,5.72,88.19,19.1,1.297
Rice,Odisha,GANJAM,2000,Winter,273140.0,60.53,72.23,38.14,24.29,78.52,5.05,253.02,34.38,1.21
Maize,Odisha,GANJAM,2001,Kharif,761.0,49.42,42.73,26.11,22.94,57.97,6.66,83.23,24.41,1.191
Rice,Odisha,GANJAM,2001,Kharif,290000.0,70.83,77.76,36.38,26.15,77.1,7.39,189.22,34.21,2.179
Blackgram,Odisha,GANJAM,2001,Kharif,9511.0,55.2,64.97,31.31,31.71,72.91,7.32,109.0,20.4,0.237
Maize,Odisha,GANJAM,2002,Kharif,572.0,65.92,62.08,31.87,21.76,66.24,6.14,114.7,25.75,1.062
Rice,Odisha,GANJAM,2002,Kharif,254000.0,68.65,58.84,41.4,25.84,80.21,6.85,236.47,32.4,0.874
Blackgram,Odisha,GANJAM,2002,Kharif,6789.0,70.52,69.97,17.6,35.12,68.61,6.16,96.45,19.32,0.178
Maize,Odisha,GANJAM,2003,Kharif,673.0,109.03,48.91,28.59,17.59,69.25,6.79,104.96,22.41,1.15
Rice,Odisha,GANJAM,2003,Kharif,289000.0,82.56,40.91,45.81,24.62,79.46,7.13,300.0,32.38,1.547
Blackgram,Odisha,GANJAM,2003,Kharif,8991.0,82.11,59.77,27.41,30.58,70.59,6.46,109.93,31.72,0.21
Maize,Odisha,GANJAM,2004,Autumn,1350.0,72.4,52.26,29.98,26.84,78.32,5.87,53.09,29.78,1.133
Rice,Odisha,GANJAM,2004,Autumn,1000.0,79.34,43.83,52.61,26.1,76.42,7.15,212.8,28.69,2.0
Blackgram,Odisha,GANJAM,2004,Autumn,292.0,10.0,53.83,23.69,22.15,65.0,6.08,86.73,25.83,0.135
Maize,Odisha,GANJAM,2004,Summer,5.0,61.25,46.83,38.35,21.41,61.71,7.16,58.88,21.58,1.0
Rice,Odisha,GANJAM,2004,Summer,1000.0,66.86,32.82,42.85,24.94,69.93,7.07,176.57,23.6,2.0
Blackgram,Odisha,GANJAM,2004,Summer,17.0,27.54,62.74,20.64,28.42,60.16,7.38,58.19,18.61,0.218
Rice,Odisha,GANJAM,2004,Winter,257000.0,59.52,39.81,43.84,22.96,76.04,4.5,207.82,35.11,1.479
Blackgram,Odisha,GANJAM,2004,Winter,6851.0,45.66,90.95,32.96,25.44,55.53,7.02,64.45,17.53,0.206
Maize,Odisha,GANJAM,2005,Autumn,638.0,109.11,33.69,24.83,26.93,62.59,6.12,92.71,28.06,1.273
Rice,Odisha,GANJAM,2005,Autumn,1000.0,84.04,60.01,45.67,25.53,74.17,5.86,171.79,26.18,1.0
Blackgram,Odisha,GANJAM,2005,Autumn,413.0,83.52,73.73,24.77,29.8,61.91,7.97,86.86,22.36,0.17
Maize,Odisha,GANJAM,2005,Summer,4.0,79.15,52.72,33.0,25.23,52.31,5.65,24.5,18.54,1.125
Rice,Odisha,GANJAM,2005,Summer,1000.0,43.81,35.26,49.09,26.46,71.19,6.61,146.41,18.7,1.0
Blackgram,Odisha,GANJAM,2005,Summer,187.0,54.47,69.16,34.91,36.87,51.81,7.41,58.33,21.12,0.318
Rice,Odisha,GANJAM,2005,Winter,246000.0,101.29,52.52,45.23,17.98,73.7,5.79,191.83,29.72,1.37
Blackgram,Odisha,GANJAM,2005,Winter,7084.0,40.96,48.21,26.78,21.45,60.44,6.91,77.34,25.41,0.173
Maize,Odisha,GANJAM,2006,Autumn,1006.0,69.27,28.81,35.23,21.91,61.46,5.67,107.13,25.24,1.347
Rice,Odisha,GANJAM,2006,Autumn,1000.0,44.48,53.79,51.94,30.57,76.66,6.36,196.68,25.7,2.0
Blackgram,Odisha,GANJAM,2006,Autumn,179.0,10.0,69.31,30.24,28.35,60.54,7.32,85.59,22.73,0.158
Maize,Odisha,GANJAM,2006,Summer,7.0,17.54,67.59,30.41,28.24,59.66,6.5,27.44,10.0,3.043
Blackgram,Odisha,GANJAM,2006,Summer,16.0,36.7,61.67,40.47,37.48,59.15,5.25,54.86,21.9,0.344
Rice,Odisha,GANJAM,2006,Winter,273000.0,48.07,34.5,45.29,18.3,75.7,7.53,179.94,24.4,2.084
Blackgram,Odisha,GANJAM,2006,Winter,5552.0,56.62,55.94,30.47,28.36,63.33,7.92,84.71,11.68,0.195
Maize,Odisha,GANJAM,2007,Autumn,853.0,66.19,30.75,37.35,16.44,70.96,5.91,87.43,16.35,1.396
Rice,Odisha,GANJAM,2007,Autumn,1000.0,107.15,47.76,40.31,29.81,77.6,8.38,216.64,31.84,2.0
Blackgram,Odisha,GANJAM,2007,Autumn,490.0,47.25,91.08,28.52,30.33,67.72,6.78,94.18,23.79,0.161
Maize,Odisha,GANJAM,2007,Summer,8.0,77.78,58.79,39.52,20.35,63.15,6.58,108.73,21.91,1.712
Rice,Odisha,GANJAM,2007,Summer,1000.0,73.12,42.66,39.04,25.22,72.33,6.69,137.41,18.82,1.0
Blackgram,Odisha,GANJAM,2007,Summer,6.0,24.25,70.92,36.96,29.34,54.46,7.4,55.75,16.09,0.35
Maize,Odisha,GANJAM,2007,Winter,1.0,59.34,36.89,30.04,23.48,60.42,6.21,66.23,22.73,0.7
Rice,Odisha,GANJAM,2007,Winter,271000.0,65.81,66.9,39.85,24.53,76.33,6.35,196.81,31.74,2.247
Blackgram,Odisha,GANJAM,2007,Winter,7898.0,56.78,61.26,32.54,20.37,64.42,7.93,63.04,11.89,0.203
Maize,Odisha,GANJAM,2008,Autumn,453.0,58.53,46.2,30.06,20.54,60.66,7.04,112.84,26.61,1.336
Rice,Odisha,GANJAM,2008,Autumn,3000.0,64.65,48.27,46.61,25.72,73.58,4.76,247.19,34.28,1.333
Blackgram,Odisha,GANJAM,2008,Autumn,425.0,26.92,78.57,36.42,30.43,61.37,7.35,85.03,23.06,0.189
Maize,Odisha,GANJAM,2008,Summer,5.0,44.98,61.3,34.95,25.25,58.69,5.74,68.81,18.81,1.36
Blackgram,Odisha,GANJAM,2008,Summer,4.0,27.74,63.46,27.93,26.56,60.62,6.23,51.19,23.85,0.25
Maize,Odisha,GANJAM,2008,Winter,1.0,60.75,69.42,30.3,12.24,71.27,5.8,54.25,24.07,0.7
Rice,Odisha,GANJAM,2008,Winter,273000.0,49.42,37.08,45.92,20.25,77.87,6.82,116.5,27.05,1.696
Blackgram,Odisha,GANJAM,2008,Winter,9240.0,36.96,58.02,34.65,32.08,72.52,6.24,67.79,18.14,0.231
Maize,Odisha,GANJAM,2009,Autumn,1063.0,85.39,57.89,31.08,18.28,75.27,6.54,76.53,15.92,1.503
Rice,Odisha,GANJAM,2009,Autumn,1000.0,53.87,57.24,47.66,21.82,75.31,5.05,283.71,26.41,2.0
Blackgram,Odisha,GANJAM,2009,Autumn,309.0,35.58,73.07,26.16,27.79,62.4,6.89,92.68,26.94,0.227
Maize,Odisha,GANJAM,2009,Summer,9.0,68.57,68.01,32.66,23.85,78.45,6.88,70.34,27.52,1.356
